Date	Value
9/18/17	53.78
9/15/17	53.64
9/14/17	53.63
9/13/17	52.92
9/12/17	52.08
9/11/17	51.82
9/8/17	52.53
9/7/17	52.48
9/6/17	52.04
9/5/17	50.99
9/4/17	50.36
9/1/17	49.68
8/31/17	49.36
8/30/17	49.41
8/29/17	49.51
8/28/17	49.86
8/25/17	49.93
8/24/17	49.76
8/23/17	49.49
8/22/17	49.5
8/21/17	49.8
8/18/17	48.86
8/17/17	48.07
8/16/17	48.69
8/15/17	48.45
8/14/17	49.46
8/11/17	49.37
8/10/17	50.7
8/9/17	50.48
8/8/17	50.5
8/7/17	50.06
8/4/17	49.96
8/3/17	50.26
8/2/17	49.75
8/1/17	49.61
7/31/17	49.97
7/28/17	49.46
7/27/17	48.88
7/26/17	48.51
7/25/17	47.11
7/24/17	46.01
7/21/17	46.99
7/20/17	47.48
7/19/17	46.85
7/18/17	46.45
7/17/17	46.8
7/14/17	46.4
7/13/17	45.66
7/12/17	46.02
7/11/17	44.79
7/10/17	44.77
7/7/17	45.11
7/6/17	46.52
7/5/17	47.04
7/4/17	47.57
7/3/17	47.17
6/30/17	45.63
6/29/17	45.36
6/28/17	44.48
6/27/17	44.23
6/26/17	43.14
6/23/17	43.02
6/22/17	42.58
6/21/17	43.14
6/20/17	43.9
6/19/17	44.46
6/16/17	44.58
6/15/17	44.38
6/14/17	45.16
6/13/17	46.01
6/12/17	45.94
6/9/17	45.49
6/8/17	45.78
6/7/17	46.78
6/6/17	46.98
6/5/17	47.37
6/2/17	47.33
6/1/17	48.85
5/31/17	48.69
5/30/17	49.39
5/29/17	49.67
5/26/17	49.48
5/25/17	51.24
5/24/17	51.96
5/23/17	51.34
5/22/17	51.54
5/19/17	50.91
5/18/17	49.91
5/17/17	49.48
5/16/17	49.75
5/15/17	49.77
5/12/17	48.31
5/11/17	48.41
5/10/17	47.35
5/9/17	46.88
5/8/17	46.91
5/5/17	46.6
5/4/17	47.49
5/3/17	48.38
5/2/17	49.02
5/1/17	49.19
4/28/17	49.33
4/27/17	48.9
4/26/17	49.65
4/25/17	49.22
4/24/17	49.66
4/21/17	50.01
4/20/17	50.49
4/19/17	51.9
4/18/17	52.3
4/17/17	52.96
4/13/17	53.38
4/12/17	53.69
4/11/17	53.37
4/10/17	53.14
4/7/17	52.92
4/6/17	51.84
4/5/17	51.96
4/4/17	50.6
4/3/17	50.69
3/31/17	50.43
3/30/17	50.2
3/29/17	49.54
3/28/17	48.84
3/27/17	48.25
3/24/17	48.26
3/23/17	48.35
3/22/17	48.28
3/21/17	49.23
3/20/17	49.18
3/17/17	49.36
3/16/17	49.7
3/15/17	49.17
3/14/17	48.63
3/13/17	49
3/10/17	49.81
3/9/17	50.82
3/8/17	52.69
3/7/17	53.54
3/6/17	53.13
3/3/17	53.01
3/2/17	53.74
3/1/17	54.15
2/28/17	53.4
2/27/17	53.85
2/24/17	53.61
2/23/17	53.95
2/22/17	53.48
2/21/17	53.88
2/20/17	53.49
2/17/17	53.11
2/16/17	53.14
2/15/17	53.1
2/14/17	53.31
2/13/17	53.47
2/10/17	53.23
2/9/17	52.76
2/8/17	52.13
2/7/17	52.78
2/6/17	53.77
2/3/17	54.24
2/2/17	53.93
2/1/17	52.76
1/31/17	52.19
1/30/17	52.78
1/27/17	52.88
1/26/17	52.91
1/25/17	52.14
1/24/17	52.51
1/23/17	52.1
1/20/17	51.8
1/19/17	51.45
1/18/17	52.22
1/17/17	52.6
1/16/17	52.17
1/13/17	52.64
1/12/17	52.3
1/11/17	50.98
1/10/17	51.46
1/9/17	52.85
1/6/17	53.5
1/5/17	53.02
1/4/17	52.71
1/3/17	53.13
12/30/16	53.3
12/29/16	53.46
12/28/16	53.39
12/27/16	52.25
12/23/16	51.74
